Modello;Codice_articolo;page_start;page_end;Product_Name;Confidence
2.000 *;428046;168;171;620 Standard;1
2.3;428045;168;171;620 Standard;1
2.315;428088;168;171;620 Standard;1
2.815;428089;168;171;620 Standard;1
3;428176;168;171;620 Standard;1
3.3;428042;168;171;620 Standard;1
3.815;428090;168;171;620 Standard;1
4.300 *;428043;168;171;620 Standard;1
4.815;428091;168;171;620 Standard;1
5;428002;168;171;620 Standard;1
Giunto *;428615;168;171;620 Standard;1
2.3;428045;172;175;620 Rapida;1
2.315;428088;172;175;620 Rapida;1
2.815;428089;172;175;620 Rapida;1
3;428176;172;175;620 Rapida;1
3.3;428042;172;175;620 Rapida;1
3.815;428090;172;175;620 Rapida;1
3;428176;176;179;B680H;1
Asta Finale L 2,3 m;428049;176;179;B680H;1
Asta Finale L 3,3 m;428050;176;179;B680H;1
Asta Finale L 4,3 m;428051;176;179;B680H;1
Asta Finale S 2 m;428046;176;179;B680H;1
Asta Iniziale L 4 m;428048;176;179;B680H;1
Asta Iniziale S 2,3 m;428045;176;179;B680H;1
Asta Iniziale S 3,3 m;428042;176;179;B680H;1
Asta Intera L 5,3 m;428047;176;179;B680H;1
Asta Intera S 2,3 m;428045;176;179;B680H;1
Asta Intera S 3,3 m;428042;176;179;B680H;1
Asta Intera S 4,3 m;428043;176;179;B680H;1
Asta Intera S 5,3 m;428044;176;179;B680H;1
B680H;104680;176;179;B680H;1
Giunto L;428616;176;179;B680H;1
Giunto S;428615;176;179;B680H;1
Contenitore mod. E per schede elettroniche;720119;187;187;Mod. E;0
Contenitore mod. L per schede elettroniche;720118;187;187;Mod. L;0
Contenitore mod. LM per schede elettroniche;720309;187;187;Mod. LM;0
XMBX4;787510;196;196;XMBX4;0
XMULTICOM;790418;196;196;XMULTICOM;0
XRS485;787349;196;196;XRS485;0
XWBL;787378;196;196;XWBL;0
XMBX4;787510;197;199;XMBX4;0
XMULTICOM;790418;197;199;XMULTICOM;0
XRS485;787349;197;199;XRS485;0
XWBL;787378;197;199;XWBL;0
RP FDS 433-868;787021;200;201;Sistema 433-868MHz FDS;1
RP2 FDS 433-868;787022;200;201;Sistema 433-868MHz FDS;1
XF FDS 433-868;787025;200;201;Sistema 433-868MHz FDS;1
XR2N 433-868;787023;200;201;Sistema 433-868MHz FDS;1
XR4N 433-868;787024;200;201;Sistema 433-868MHz FDS;1
RP FDS 433-868;787021;202;203;Sistema 433-868MHz FDS BD;1
RP2 FDS 433-868;787022;202;203;Sistema 433-868MHz FDS BD;1
XF FDS 433-868;787025;202;203;Sistema 433-868MHz FDS BD;1
XR2N 433-868;787023;202;203;Sistema 433-868MHz FDS BD;1
XR4N 433-868;787024;202;203;Sistema 433-868MHz FDS BD;1
DECODER SLH;785534;204;205;XTO;1
PLUS1 868 MHz;787834;204;205;XTO;1
RP 868 SLH-DS;787854;204;205;XTO;1
RP2 868 SLH-DS;787855;204;205;XTO;1
XF 868;787832;204;205;XTO;1
XR2N FDS 433-868 MHz;787023;204;205;XTO;1
XR4N FDS 433-868 MHz;787024;204;205;XTO;1
DECODER SLH;785534;206;207;XTO ;1
PLUS1 433 MHz;787833;206;207;XTO ;1
RP 433 SLH;787852;206;207;XTO ;1
RP1 433 RC;787856;206;207;XTO ;1
RP2 433 RC;787857;206;207;XTO ;1
RP2 433 SLH;787853;206;207;XTO ;1
XF 433;787831;206;207;XTO ;1
XR2N FDS 433-868 MHz;787023;206;207;XTO ;1
XR4N FDS 433-868 MHz;787024;206;207;XTO ;1
DECODER SLH;785534;208;209;Sistema 868MHz SLH LR;1
PLUS1 868 MHz;787834;208;209;Sistema 868MHz SLH LR;1
RP 868 SLH;787854;208;209;Sistema 868MHz SLH LR;1
RP2 868 SLH;787855;208;209;Sistema 868MHz SLH LR;1
XF 868;787832;208;209;Sistema 868MHz SLH LR;1
XR2N 433-868;787023;208;209;Sistema 868MHz SLH LR;1
XR4N 433-868;787024;208;209;Sistema 868MHz SLH LR;1
DECODER SLH;785534;210;211;Sistema 433MHz SLH LR;1
PLUS1 433 MHz;787833;210;211;Sistema 433MHz SLH LR;1
RP 433 SLH;787852;210;211;Sistema 433MHz SLH LR;1
RP2 433 SLH;787853;210;211;Sistema 433MHz SLH LR;1
XF 433;787831;210;211;Sistema 433MHz SLH LR;1
XR2N 433-868;787023;210;211;Sistema 433MHz SLH LR;1
XR4N 433-868;787024;210;211;Sistema 433MHz SLH LR;1
DECODER SLHP;785535;212;213;Sistema SLHP LR;1
PLUS1 433 MHz;787833;212;213;Sistema SLHP LR;1
PLUS1 868 MHz;787834;212;213;Sistema SLHP LR;1
Radiocoder 433 SLH;103337;212;213;Sistema SLHP LR;1
Radiocoder 868 SLH;103054;212;213;Sistema SLHP LR;1
Software SLHP;785538;212;213;Sistema SLHP LR;1
Unità di programmazione SLH;404015;212;213;Sistema SLHP LR;1
RP1 433 RC;787856;214;215;Sistema 433MHz RC;1
RP2 433 RC;787857;214;215;Sistema 433MHz RC;1
XF 433;787831;214;215;Sistema 433MHz RC;1
XR2N 433-868;787023;214;215;Sistema 433MHz RC;1
XR4N 433-868;787024;214;215;Sistema 433MHz RC;1
XT4 433 RC;787456;214;215;Sistema 433MHz RC;1
T20 E (*);401012;216;219;T20 E - T21 E - T21 EF;0.12
T20 I (*);401014;216;219;T20 I - T21 I - T21 IF;0.12
T21 E (*);401013;216;219;T20 E - T21 E - T21 EF;0.12
T21 EF (**);401016;216;219;T20 E - T21 E - T21 EF;0.11
T21 I (*);401015;216;219;T20 I - T21 I - T21 IF;0.12
T21 IF (**);401017;216;219;T20 I - T21 I - T21 IF;0.11
XK10;401302;216;219;XK30;0.22
XK10 B;401304;216;219;XK30;0.18
XK10 B INOX;401046;216;219;XK10 - XK11;0.19
XK10 INOX;401044;216;219;XK10 - XK11;0.18
XK11;401303;216;219;XK10 - XK11;0.16
XK11 B;401305;216;219;XK10 B - XK11 B;0.17
XK11 B INOX;401047;216;219;XK10 B - XK11 B;0.14
XK11 INOX;401045;216;219;XK10 B - XK11 B;0.12
XK30;391456;216;219;XK30;0.3
FG1 monocanale;785529;220;222;FG1 - FG2;0.1
FG2 bicanale;785527;220;222;FG1 - FG2;0.09
MINISERVICE;790904;220;222;Scheda MINISERVICE;0.23
XKP B INOX;404039;220;222;XKP B;0.2
XKP W 433 INOX;404037;220;222;XKP W;0.16
XKP W 868 INOX;404038;220;222;XKP W;0.16
XTR B;786041;220;222;XTR B;0.3
XTR B INOX;786040;220;222;XTR B;0.2
FG1 monocanale;785529;223;223;FG1 - FG2;0.1
FG2 bicanale;785527;223;223;FG1 - FG2;0.09
MINISERVICE;790904;223;223;Scheda MINISERVICE;0.23
XTR B;786041;223;223;XTR B;0.3
XTR B INOX;786040;223;223;XTR B;0.2
XP 20 D;785102;224;225;XP 20 D;0.3
XP 20B D;785103;224;225;XP 20B D;0.3
XP 20W D;785104;224;225;XP 20W D;0.3
FORNITURA IN KIT XS30;105781;226;226;XP 30;0.07
FORNITURA IN KIT XS55;105782;226;226;XS;0.05
KIT A MISURA Costa di sicurezza fino a 2,5 m;105536;226;226;XS;0.01
XP 30;785105;226;226;XP 30;0.3
XP 30 INOX;7851051;226;226;XP 30;0.2
XP 30B;785106;226;226;XP 30B;0.3
XP 30B INOX;7851061;226;226;XP 30B;0.21
CN 60 E;785200;227;228;CN 60 E;0.3
FORNITURA IN KIT XS30;105781;227;228;XP 30;0.07
FORNITURA IN KIT XS55;105782;227;228;CN 60 E;0.06
KIT A MISURA Costa di sicurezza fino a 2,5 m;105536;227;228;CN 60 E;0.04
XP 30;785105;227;228;XP 30;0.3
XP 30 INOX;7851051;227;228;XP 30;0.2
XP 30B;785106;227;228;XP 30B;0.3
XP 30B INOX;7851061;227;228;XP 30B;0.21
M60;736425;234;234;M60;1
M60;736425;235;235;M60;1
BLOCKIT;401026;238;238;;0
Cilindro esterno con n° 2 chiavi;dal 712652001 al 712652010;238;238;;0
Cilindro interno con n° 2 chiavi;dal 712651001 al 712651010;238;238;;0
Controbocchetta a pilastro (cancelli ad un'anta);712990;238;238;;0
Elettroserratura 12V~ completa di controbocchetta a pavimento;712650;238;238;;0
"Olio idraulico ""FAAC HP OIL""";714017;238;238;;0
RL200 EF;109951;240;241;RL200;1
RL200 REVERSIBILE;109950;240;241;RL200;1
RH200B EF;109961;242;243;RH200B;1
RH200B REVERSIBILE;109960;242;243;RH200B;1
RH240 EF;109971;244;245;RH240;1
