Note_Antonella,IDML,Categoria,Prodotto,Pagina,Pagina_fine,SKU_presenti_nel_prodotto,Num_prodotti_per_categoria,Num_SKU_per_prodotto,Num_SKU_per_categoria
,,Automazioni per cancelli scorrevoli,741,118,119,111188; 202269; 390178; 490122; 490123; 490124; 490125; 490333; 1097815,12,9,52
,,Automazioni per cancelli scorrevoli,741 C,120,121,109602; 390178; 490122; 490123; 490124; 490125; 490333,12,7,52
,,Automazioni per cancelli scorrevoli,746 C,122,123,109745; 109746; 112222; 390178; 490122; 490123; 490124; 490125; 490333; 719130; 719167; 737816; 63003478; 71275101,12,14,52
,,Automazioni per cancelli scorrevoli,844 C,124,125,109925; 109926; 390178; 490122; 490123; 490124; 490125; 490333; 719130; 719167; 737816; 63003478; 71275101,12,13,52
,,Automazioni per cancelli scorrevoli,844 3PH,126,127,109904; 109928; 112266; 202073; 490122; 490124; 719130; 719167; 720118; 720119; 720309; 737816; 7191661; 71275101,12,14,52
,,Automazioni per cancelli scorrevoli,884 MC 3PH,128,129,109885; 112288; 202073; 719169; 719328; 722123; 737628,12,7,52
,,Automazioni per cancelli scorrevoli,C851,130,132,109903; 113300; 490122; 737850; 63003207,12,5,52
,0,Automazioni per porte sezionali,,133,133,,6,0,36
,,Automazioni per porte sezionali,D600,134,135,110600; 390120; 390126; 390132; 390139; 390226; 390232; 390239; 390488; 390765; 390768; 390923; 2024015; 424591001,6,14,36
,,Automazioni per porte sezionali,D700 HS,136,137,110602; 390120; 390126; 390132; 390139; 390226; 390232; 390239; 390488; 390765; 390768; 390923; 63002425; 424591001,6,14,36
,,Automazioni per porte sezionali,D1000,138,139,110601; 390120; 390126; 390132; 390139; 390226; 390232; 390239; 390488; 390548; 390765; 390768; 390923; 2024025; 424591001,6,15,36
ELIMINARE - 540,0,Automazioni per porte sezionali,540,140,141,109512; 390719; 390720; 390721; 390744; 390745; 402500; 2022805,6,8,36
ELIMINARE - 541,0,Automazioni per porte sezionali,541,142,143,109542; 390719; 390720; 390721; 390744; 390745; 402501; 720118; 720119; 720309; 790922,6,11,36
ELIMINARE - 541 3PH,0,Automazioni per porte sezionali,541 3PH,144,146,109550; 390719; 390720; 390721; 390744; 390745; 402502; 402504,6,8,36
,0,Automazioni per porte basculanti,,147,147,,2,0,38
