Name,Page,Size,Dimensions,Scale,Rotation,Path,Description
logo_2easy_bw_1_1.ai,19,1.2 MB (1269718 bytes),,38.10%,,C:\Users\Luca1\Downloads\CATALISTINO_2025_PACCHETTO_COMPLETO\Links\logo_2easy_bw_1_1.ai,
FDS.png,19,12.6 KB (12944 bytes),206 x 141,63.50%,,C:\Users\Luca1\Downloads\CATALISTINO_2025_PACCHETTO_COMPLETO\Links\FDS.png,
logo_Omnidec_bw_1_1.ai,19,1.2 MB (1271294 bytes),,38.10%,,C:\Users\Luca1\Downloads\CATALISTINO_2025_PACCHETTO_COMPLETO\Links\logo_Omnidec_bw_1_1.ai,
logo_FAAC_white.png,20,7880 bytes (7880 bytes),928 x 237,19.10%,,C:\Users\Luca1\Downloads\CATALISTINO_2025_PACCHETTO_COMPLETO\Links\logo_FAAC_white.png,
logo_safezone_cmyk_1.ai,20,1.2 MB (1257737 bytes),,39.30%,,C:\Users\Luca1\Downloads\CATALISTINO_2025_PACCHETTO_COMPLETO\Links\logo_safezone_cmyk_1.ai,
logo_greentech_cmyk_1_1.ai,21,1.2 MB (1266293 bytes),,39.60%,,C:\Users\Luca1\Downloads\CATALISTINO_2025_PACCHETTO_COMPLETO\Links\logo_greentech_cmyk_1_1.ai,
logo_FAAC_white.png,21,7880 bytes (7880 bytes),928 x 237,19.10%,,C:\Users\Luca1\Downloads\CATALISTINO_2025_PACCHETTO_COMPLETO\Links\logo_FAAC_white.png,
Untitled design (2).png,22,222.7 KB (228067 bytes),2652 x 3750,14.2% x -14.2%,180.0°,C:\Users\Luca1\Downloads\CATALISTINO_2025_PACCHETTO_COMPLETO\Links\Untitled design (2).png,
Untitled design (2).png,22,222.7 KB (228067 bytes),2652 x 3750,14.2% x -14.2%,180.0°,C:\Users\Luca1\Downloads\CATALISTINO_2025_PACCHETTO_COMPLETO\Links\Untitled design (2).png,
logo_FAAC_Black.png,22,4814 bytes (4814 bytes),928 x 237,19.10%,,C:\Users\Luca1\Downloads\CATALISTINO_2025_PACCHETTO_COMPLETO\Links\logo_FAAC_Black.png,
21978047_Tablet_Mockup_06.jpg,22,201 KB (205838 bytes),3000 x 2000,44.60%,,C:\Users\Luca1\Downloads\CATALISTINO_2025_PACCHETTO_COMPLETO\Links\21978047_Tablet_Mockup_06.jpg,
Untitled design (2).png,22,222.7 KB (228067 bytes),2652 x 3750,14.2% x -14.2%,180.0°,C:\Users\Luca1\Downloads\CATALISTINO_2025_PACCHETTO_COMPLETO\Links\Untitled design (2).png,
Untitled design (2).png,23,222.7 KB (228067 bytes),2652 x 3750,14.2% x -14.2%,180.0°,C:\Users\Luca1\Downloads\CATALISTINO_2025_PACCHETTO_COMPLETO\Links\Untitled design (2).png,
logo_FAAC_Black.png,23,4814 bytes (4814 bytes),928 x 237,19.10%,,C:\Users\Luca1\Downloads\CATALISTINO_2025_PACCHETTO_COMPLETO\Links\logo_FAAC_Black.png,
Untitled design (2).png,23,222.7 KB (228067 bytes),2652 x 3750,14.2% x -14.2%,180.0°,C:\Users\Luca1\Downloads\CATALISTINO_2025_PACCHETTO_COMPLETO\Links\Untitled design (2).png,
21978047_Tablet_Mockup_06.jpg,26,201 KB (205838 bytes),3000 x 2000,16.70%,,C:\Users\Luca1\Downloads\CATALISTINO_2025_PACCHETTO_COMPLETO\Links\21978047_Tablet_Mockup_06.jpg,
faac_04.psd,26,123.3 MB (129263973 bytes),7762 x 5792,16.10%,,C:\Users\Luca1\Downloads\CATALISTINO_2025_PACCHETTO_COMPLETO\Links\faac_04.psd,
logo_FAAC_Black.png,26,4814 bytes (4814 bytes),928 x 237,19.10%,,C:\Users\Luca1\Downloads\CATALISTINO_2025_PACCHETTO_COMPLETO\Links\logo_FAAC_Black.png,
60.png,26,1.2 MB (1263152 bytes),3125 x 3453,49.50%,,C:\Users\Luca1\Downloads\CATALISTINO_2025_PACCHETTO_COMPLETO\Links\60.png,
Power Kit_PERFECT KIT_3-2019 unico liv.png,27,4 MB (4191136 bytes),7350 x 5544,34.30%,,C:\Users\Luca1\Downloads\CATALISTINO_2025_PACCHETTO_COMPLETO\Links\Power Kit_PERFECT KIT_3-2019 unico liv.png,
logo_safezone_cmyk_1.ai,28,1.2 MB (1257737 bytes),,24.90%,,C:\Users\Luca1\Downloads\CATALISTINO_2025_PACCHETTO_COMPLETO\Links\logo_safezone_cmyk_1.ai,
LEADER kit_PERFECT_120013 .tif,28,70.7 MB (74172260 bytes),4975 x 4963,21.40%,,C:\Users\Luca1\Downloads\CATALISTINO_2025_PACCHETTO_COMPLETO\Links\LEADER kit_PERFECT_120013 .tif,
logo_2easy_bw_1.ai,28,1.2 MB (1269718 bytes),,24.60%,,C:\Users\Luca1\Downloads\CATALISTINO_2025_PACCHETTO_COMPLETO\Links\logo_2easy_bw_1.ai,
logo_Omnidec_bw_2.ai,28,1.2 MB (1271294 bytes),,24.60%,,C:\Users\Luca1\Downloads\CATALISTINO_2025_PACCHETTO_COMPLETO\Links\logo_Omnidec_bw_2.ai,
logo_CE_bw_1.ai,28,1.2 MB (1250281 bytes),,24%,,C:\Users\Luca1\Downloads\CATALISTINO_2025_PACCHETTO_COMPLETO\Links\logo_CE_bw_1.ai,
Leader Kit_PERFECT KIT_3-2019 unico liv.png,28,5.4 MB (5703822 bytes),7316 x 5188,24.40%,,C:\Users\Luca1\Downloads\CATALISTINO_2025_PACCHETTO_COMPLETO\Links\Leader Kit_PERFECT KIT_3-2019 unico liv.png,
MASTER kit 230V_PERFECT_120015 .tif,29,71.7 MB (75227784 bytes),4889 x 5123,21.80%,,C:\Users\Luca1\Downloads\CATALISTINO_2025_PACCHETTO_COMPLETO\Links\MASTER kit 230V_PERFECT_120015 .tif,
logo_CE_bw_1.ai,29,1.2 MB (1250281 bytes),,24%,,C:\Users\Luca1\Downloads\CATALISTINO_2025_PACCHETTO_COMPLETO\Links\logo_CE_bw_1.ai,
logo_Omnidec_bw_2.ai,29,1.2 MB (1271294 bytes),,24.60%,,C:\Users\Luca1\Downloads\CATALISTINO_2025_PACCHETTO_COMPLETO\Links\logo_Omnidec_bw_2.ai,
logo_safezone_cmyk_1.ai,29,1.2 MB (1257737 bytes),,24.90%,,C:\Users\Luca1\Downloads\CATALISTINO_2025_PACCHETTO_COMPLETO\Links\logo_safezone_cmyk_1.ai,
logo_2easy_bw_1.ai,29,1.2 MB (1269718 bytes),,24.60%,,C:\Users\Luca1\Downloads\CATALISTINO_2025_PACCHETTO_COMPLETO\Links\logo_2easy_bw_1.ai,
Master Kit_PERFECT KIT_3-2019 unico liv.png,29,4.7 MB (4893236 bytes),5616 x 3588,25.30%,,C:\Users\Luca1\Downloads\CATALISTINO_2025_PACCHETTO_COMPLETO\Links\Master Kit_PERFECT KIT_3-2019 unico liv.png,
logo_Omnidec_bw_2.ai,30,1.2 MB (1271294 bytes),,24.60%,,C:\Users\Luca1\Downloads\CATALISTINO_2025_PACCHETTO_COMPLETO\Links\logo_Omnidec_bw_2.ai,
MASTER kit 24V_PERFECT_120016.tif,30,67.9 MB (71192516 bytes),4867 x 4870,21.90%,,C:\Users\Luca1\Downloads\CATALISTINO_2025_PACCHETTO_COMPLETO\Links\MASTER kit 24V_PERFECT_120016.tif,
logo_2easy_bw_1.ai,30,1.2 MB (1269718 bytes),,24.60%,,C:\Users\Luca1\Downloads\CATALISTINO_2025_PACCHETTO_COMPLETO\Links\logo_2easy_bw_1.ai,
logo_CE_bw_1.ai,30,1.2 MB (1250281 bytes),,24%,,C:\Users\Luca1\Downloads\CATALISTINO_2025_PACCHETTO_COMPLETO\Links\logo_CE_bw_1.ai,
logo_safezone_cmyk_1.ai,30,1.2 MB (1257737 bytes),,24.90%,,C:\Users\Luca1\Downloads\CATALISTINO_2025_PACCHETTO_COMPLETO\Links\logo_safezone_cmyk_1.ai,
Master Kit_PERFECT KIT_3-2019 unico liv.png,30,4.7 MB (4893236 bytes),5616 x 3588,25.30%,,C:\Users\Luca1\Downloads\CATALISTINO_2025_PACCHETTO_COMPLETO\Links\Master Kit_PERFECT KIT_3-2019 unico liv.png,
logo_CE_bw_1.ai,31,1.2 MB (1250281 bytes),,24%,,C:\Users\Luca1\Downloads\CATALISTINO_2025_PACCHETTO_COMPLETO\Links\logo_CE_bw_1.ai,
logo_2easy_bw_1.ai,31,1.2 MB (1269718 bytes),,24.60%,,C:\Users\Luca1\Downloads\CATALISTINO_2025_PACCHETTO_COMPLETO\Links\logo_2easy_bw_1.ai,
logo_Omnidec_bw_2.ai,31,1.2 MB (1271294 bytes),,24.60%,,C:\Users\Luca1\Downloads\CATALISTINO_2025_PACCHETTO_COMPLETO\Links\logo_Omnidec_bw_2.ai,
logo_safezone_cmyk_1.ai,31,1.2 MB (1257737 bytes),,24.90%,,C:\Users\Luca1\Downloads\CATALISTINO_2025_PACCHETTO_COMPLETO\Links\logo_safezone_cmyk_1.ai,
HANDY kit_PERFECT_120019.tif,31,65.1 MB (68232220 bytes),4763 x 4769,22.40%,,C:\Users\Luca1\Downloads\CATALISTINO_2025_PACCHETTO_COMPLETO\Links\HANDY kit_PERFECT_120019.tif,
Handy Kit_11-2018 ok unico liv.png,31,3.8 MB (3957745 bytes),8044 x 4505,26.40%,,C:\Users\Luca1\Downloads\CATALISTINO_2025_PACCHETTO_COMPLETO\Links\Handy Kit_11-2018 ok unico liv.png,
logo_CE_bw_1.ai,32,1.2 MB (1250281 bytes),,24%,,C:\Users\Luca1\Downloads\CATALISTINO_2025_PACCHETTO_COMPLETO\Links\logo_CE_bw_1.ai,
logo_safezone_cmyk_1.ai,32,1.2 MB (1257737 bytes),,24.90%,,C:\Users\Luca1\Downloads\CATALISTINO_2025_PACCHETTO_COMPLETO\Links\logo_safezone_cmyk_1.ai,
logo_2easy_bw_1.ai,32,1.2 MB (1269718 bytes),,24.60%,,C:\Users\Luca1\Downloads\CATALISTINO_2025_PACCHETTO_COMPLETO\Links\logo_2easy_bw_1.ai,
Eco Kit_PERFECT KIT_3-2019 unico liv.png,32,2.9 MB (3074974 bytes),8568 x 4994,24.80%,,C:\Users\Luca1\Downloads\CATALISTINO_2025_PACCHETTO_COMPLETO\Links\Eco Kit_PERFECT KIT_3-2019 unico liv.png,
ECO kit_PERFECT_120014 .tif,32,82.6 MB (86646300 bytes),5374 x 5369,19.80%,,C:\Users\Luca1\Downloads\CATALISTINO_2025_PACCHETTO_COMPLETO\Links\ECO kit_PERFECT_120014 .tif,
logo_Omnidec_bw_2.ai,32,1.2 MB (1271294 bytes),,24.60%,,C:\Users\Luca1\Downloads\CATALISTINO_2025_PACCHETTO_COMPLETO\Links\logo_Omnidec_bw_2.ai,
logo_greentech_cmyk_1.ai,33,1.2 MB (1266293 bytes),,24.30%,,C:\Users\Luca1\Downloads\CATALISTINO_2025_PACCHETTO_COMPLETO\Links\logo_greentech_cmyk_1.ai,
HIGH kit_PERFECT_120020 .tif,33,93.3 MB (97853992 bytes),5511 x 5910,19.40%,,C:\Users\Luca1\Downloads\CATALISTINO_2025_PACCHETTO_COMPLETO\Links\HIGH kit_PERFECT_120020 .tif,
73384 HIGH KIT 01-2021 render cmyk.png,33,535.3 KB (548097 bytes),2069 x 1437,102.70%,,C:\Users\Luca1\Downloads\CATALISTINO_2025_PACCHETTO_COMPLETO\Links\73384 HIGH KIT 01-2021 render cmyk.png,
logo_2easy_bw_1.ai,33,1.2 MB (1269718 bytes),,24.60%,,C:\Users\Luca1\Downloads\CATALISTINO_2025_PACCHETTO_COMPLETO\Links\logo_2easy_bw_1.ai,
logo_Omnidec_bw_2.ai,33,1.2 MB (1271294 bytes),,24.60%,,C:\Users\Luca1\Downloads\CATALISTINO_2025_PACCHETTO_COMPLETO\Links\logo_Omnidec_bw_2.ai,
logo_safezone_cmyk_1.ai,33,1.2 MB (1257737 bytes),,24.90%,,C:\Users\Luca1\Downloads\CATALISTINO_2025_PACCHETTO_COMPLETO\Links\logo_safezone_cmyk_1.ai,
logo_CE_bw_1.ai,33,1.2 MB (1250281 bytes),,24%,,C:\Users\Luca1\Downloads\CATALISTINO_2025_PACCHETTO_COMPLETO\Links\logo_CE_bw_1.ai,
logo_2easy_bw_1.ai,34,1.2 MB (1269718 bytes),,24.60%,,C:\Users\Luca1\Downloads\CATALISTINO_2025_PACCHETTO_COMPLETO\Links\logo_2easy_bw_1.ai,
POWER kit 230V_PERFECT_120017 .TIF,34,45.7 MB (47965128 bytes),3985 x 4006,26.80%,,C:\Users\Luca1\Downloads\CATALISTINO_2025_PACCHETTO_COMPLETO\Links\POWER kit 230V_PERFECT_120017 .TIF,
logo_CE_bw_1.ai,34,1.2 MB (1250281 bytes),,24%,,C:\Users\Luca1\Downloads\CATALISTINO_2025_PACCHETTO_COMPLETO\Links\logo_CE_bw_1.ai,
logo_safezone_cmyk_1.ai,34,1.2 MB (1257737 bytes),,24.90%,,C:\Users\Luca1\Downloads\CATALISTINO_2025_PACCHETTO_COMPLETO\Links\logo_safezone_cmyk_1.ai,
logo_Omnidec_bw_2.ai,34,1.2 MB (1271294 bytes),,24.60%,,C:\Users\Luca1\Downloads\CATALISTINO_2025_PACCHETTO_COMPLETO\Links\logo_Omnidec_bw_2.ai,
Power Kit_PERFECT KIT_3-2019 unico liv.png,34,4 MB (4191136 bytes),7350 x 5544,28.90%,,C:\Users\Luca1\Downloads\CATALISTINO_2025_PACCHETTO_COMPLETO\Links\Power Kit_PERFECT KIT_3-2019 unico liv.png,
logo_CE_bw_1.ai,35,1.2 MB (1250281 bytes),,24%,,C:\Users\Luca1\Downloads\CATALISTINO_2025_PACCHETTO_COMPLETO\Links\logo_CE_bw_1.ai,
logo_2easy_bw_1.ai,35,1.2 MB (1269718 bytes),,24.60%,,C:\Users\Luca1\Downloads\CATALISTINO_2025_PACCHETTO_COMPLETO\Links\logo_2easy_bw_1.ai,
Power Kit_PERFECT KIT_3-2019 unico liv.png,35,4 MB (4191136 bytes),7350 x 5544,28.90%,,C:\Users\Luca1\Downloads\CATALISTINO_2025_PACCHETTO_COMPLETO\Links\Power Kit_PERFECT KIT_3-2019 unico liv.png,
POWER kit 24V_PERFECT_120018 .TIF,35,46.7 MB (48999148 bytes),4038 x 4039,26.40%,,C:\Users\Luca1\Downloads\CATALISTINO_2025_PACCHETTO_COMPLETO\Links\POWER kit 24V_PERFECT_120018 .TIF,
logo_safezone_cmyk_1.ai,35,1.2 MB (1257737 bytes),,24.90%,,C:\Users\Luca1\Downloads\CATALISTINO_2025_PACCHETTO_COMPLETO\Links\logo_safezone_cmyk_1.ai,
logo_Omnidec_bw_2.ai,35,1.2 MB (1271294 bytes),,24.60%,,C:\Users\Luca1\Downloads\CATALISTINO_2025_PACCHETTO_COMPLETO\Links\logo_Omnidec_bw_2.ai,
PRATICO C kit_PERFECT_120011 .tif,36,64.1 MB (67262084 bytes),4600 x 4857,23.20%,,C:\Users\Luca1\Downloads\CATALISTINO_2025_PACCHETTO_COMPLETO\Links\PRATICO C kit_PERFECT_120011 .tif,
logo_CE_bw_1.ai,36,1.2 MB (1250281 bytes),,24%,,C:\Users\Luca1\Downloads\CATALISTINO_2025_PACCHETTO_COMPLETO\Links\logo_CE_bw_1.ai,
logo_safezone_cmyk_1.ai,36,1.2 MB (1257737 bytes),,24.90%,,C:\Users\Luca1\Downloads\CATALISTINO_2025_PACCHETTO_COMPLETO\Links\logo_safezone_cmyk_1.ai,
Pratico Kit_PERFECT KIT_3-2019 unico liv.png,36,4.5 MB (4764317 bytes),6680 x 5628,31.80%,,C:\Users\Luca1\Downloads\CATALISTINO_2025_PACCHETTO_COMPLETO\Links\Pratico Kit_PERFECT KIT_3-2019 unico liv.png,
DELTA2 kit_PERFECT_120009 .TIF,37,41.1 MB (43059636 bytes),3782 x 3782,28.20%,,C:\Users\Luca1\Downloads\CATALISTINO_2025_PACCHETTO_COMPLETO\Links\DELTA2 kit_PERFECT_120009 .TIF,
logo_CE_bw_1.ai,37,1.2 MB (1250281 bytes),,24%,,C:\Users\Luca1\Downloads\CATALISTINO_2025_PACCHETTO_COMPLETO\Links\logo_CE_bw_1.ai,
logo_safezone_cmyk_1.ai,37,1.2 MB (1257737 bytes),,24.90%,,C:\Users\Luca1\Downloads\CATALISTINO_2025_PACCHETTO_COMPLETO\Links\logo_safezone_cmyk_1.ai,
Delta 2 PERFECT Kit_2-2019 unico liv.png,37,4.3 MB (4461067 bytes),4444 x 3744,33.60%,,C:\Users\Luca1\Downloads\CATALISTINO_2025_PACCHETTO_COMPLETO\Links\Delta 2 PERFECT Kit_2-2019 unico liv.png,
Delta 3 PERFECT Kit_3-2019 unico liv.png,38,4.2 MB (4430297 bytes),4444 x 3744,33.60%,,C:\Users\Luca1\Downloads\CATALISTINO_2025_PACCHETTO_COMPLETO\Links\Delta 3 PERFECT Kit_3-2019 unico liv.png,
logo_CE_bw_1.ai,38,1.2 MB (1250281 bytes),,24%,,C:\Users\Luca1\Downloads\CATALISTINO_2025_PACCHETTO_COMPLETO\Links\logo_CE_bw_1.ai,
logo_safezone_cmyk_1.ai,38,1.2 MB (1257737 bytes),,24.90%,,C:\Users\Luca1\Downloads\CATALISTINO_2025_PACCHETTO_COMPLETO\Links\logo_safezone_cmyk_1.ai,
DELTA3 kit_PERFECT_120010 .TIF,38,58.5 MB (61380256 bytes),3782 x 3782,28.20%,,C:\Users\Luca1\Downloads\CATALISTINO_2025_PACCHETTO_COMPLETO\Links\DELTA3 kit_PERFECT_120010 .TIF,
RAPID (Cyclo) PERFECT Kit_2-2019 unico liv.png,39,3.8 MB (3986727 bytes),4524 x 3744,33%,,C:\Users\Luca1\Downloads\CATALISTINO_2025_PACCHETTO_COMPLETO\Links\RAPID (Cyclo) PERFECT Kit_2-2019 unico liv.png,
logo_greentech_cmyk_1.ai,39,1.2 MB (1266293 bytes),,24.30%,,C:\Users\Luca1\Downloads\CATALISTINO_2025_PACCHETTO_COMPLETO\Links\logo_greentech_cmyk_1.ai,
logo_safezone_cmyk_1.ai,39,1.2 MB (1257737 bytes),,24.90%,,C:\Users\Luca1\Downloads\CATALISTINO_2025_PACCHETTO_COMPLETO\Links\logo_safezone_cmyk_1.ai,
logo_CE_bw_1.ai,39,1.2 MB (1250281 bytes),,24%,,C:\Users\Luca1\Downloads\CATALISTINO_2025_PACCHETTO_COMPLETO\Links\logo_CE_bw_1.ai,
