page_start;page_end;product;folder;CE;Safe;Green;Omnidec;2Easy;Hybrid;Classe_II;Wireless;all_badges;badge_files;qr_code;qr_codes_all;badge_texts_styled
042;042;SAFE&GREEN Retrofit kit;042_SAFE&GREEN_Retrofit_kit;logo_CE_bw.ai;logo_safezone_cmyk.ai;logo_greentech_cmyk.ai;logo_Omnidec_bw.ai;logo_2easy_bw.ai;logo_Hybrid_bw.ai;;;"2Easy;CE;Green;Hybrid;Omnidec;Safe";"logo_CE_bw.ai;logo_Omnidec_bw.ai;logo_safezone_cmyk.ai;logo_2easy_bw.ai;logo_greentech_cmyk.ai;logo_Hybrid_bw.ai";;;"Codice articolo;SAFE&GREEN Retrofit kit E145S;La confezione HYBRID kit 24V SAFE comprende:;La confezione SAFE&GREEN Retrofit kit E145S comprende:;Codice"
043;043;HYBRID kit;043_HYBRID_kit;logo_CE_bw.ai;logo_safezone_cmyk.ai;logo_greentech_cmyk.ai;logo_Omnidec_bw.ai;logo_2easy_bw.ai;logo_Hybrid_bw.ai;;;"2Easy;CE;Green;Hybrid;Omnidec;Safe";"logo_2easy_bw.ai;logo_CE_bw.ai;logo_Hybrid_bw.ai;logo_safezone_cmyk.ai;logo_Omnidec_bw.ai;logo_greentech_cmyk.ai";;;"La confezione HYBRID kit 24V SAFE comprende:;La confezione SAFE&GREEN Retrofit kit E145S comprende:;Codice;Ricevente XF 433 MHz;Coppia di fotocellule XP 20B D"
044;044;LEADER kit;044_LEADER_kit;logo_CE_bw.ai;logo_safezone_cmyk.ai;;logo_Omnidec_bw.ai;logo_2easy_bw.ai;;;;"2Easy;CE;Omnidec;Safe";"logo_Omnidec_bw.ai;logo_safezone_cmyk.ai;logo_2easy_bw.ai;logo_CE_bw.ai";;;"SAFEzone composto da:;+ 2 SAFEcoder (da acquistare separatamente);Codice;Coppia di fotocellule XP 20B D;Ricevente XF 433 MHz"
045;045;TRENDY kit 230V;045_TRENDY_kit_230V;logo_CE_bw.ai;logo_safezone_cmyk.ai;;logo_Omnidec_bw.ai;logo_2easy_bw.ai;;;;"2Easy;CE;Omnidec;Safe";"logo_CE_bw.ai;logo_2easy_bw.ai;logo_Omnidec_bw.ai;logo_safezone_cmyk.ai";;;"SAFEzone composto da:;+ 2 SAFEcoder (da acquistare separatamente);Codice articolo;SAFEcoder encoder assoluto magnetico BUS (;Codice"
046;046;MASTER kit 230V;046_MASTER_kit_230V;logo_CE_bw.ai;logo_safezone_cmyk.ai;;logo_Omnidec_bw.ai;logo_2easy_bw.ai;;;;"2Easy;CE;Omnidec;Safe";"logo_2easy_bw.ai;logo_Omnidec_bw.ai;logo_safezone_cmyk.ai;logo_CE_bw.ai";;;"Codice;Ricevente XF 433 MHz;Coppia di fotocellule XP 20B D;SAFEzone composto da:;+ 2 SAFEcoder (da acquistare separatamente)"
047;047;MASTER kit 24V;047_MASTER_kit_24V;logo_CE_bw.ai;logo_safezone_cmyk.ai;;logo_Omnidec_bw.ai;logo_2easy_bw.ai;;;;"2Easy;CE;Omnidec;Safe";"logo_safezone_cmyk.ai;logo_2easy_bw.ai;logo_CE_bw.ai;logo_Omnidec_bw.ai";;;"La confezione MASTER kit 24V SAFE comprende:;SAFEzone composto da:;+ 2 SAFEcoder (da acquistare separatamente);Codice articolo;MASTER kit 24V SAFE"
048;048;HANDY kit;048_HANDY_kit;logo_CE_bw.ai;logo_safezone_cmyk.ai;;logo_Omnidec_bw.ai;logo_2easy_bw.ai;;;;"2Easy;CE;Omnidec;Safe";"logo_CE_bw.ai;logo_Omnidec_bw.ai;logo_safezone_cmyk.ai;logo_2easy_bw.ai";;;"Codice articolo;SAFEcoder per attuatore 412 (;Codice;Ricevente XF 433 MHz;Coppia di fotocellule XP 20B D"
049;049;ECO kit;049_ECO_kit;logo_CE_bw.ai;logo_safezone_cmyk.ai;;logo_Omnidec_bw.ai;logo_2easy_bw.ai;;;;"2Easy;CE;Omnidec;Safe";"logo_CE_bw.ai;logo_safezone_cmyk.ai;logo_Omnidec_bw.ai;logo_2easy_bw.ai";;;"Codice articolo;SAFEcoder per attuatore 412 (;SAFEzone composto da:;+ 2 SAFEcoder (da acquistare separatamente);Codice"
050;050;ENERGY kit;050_ENERGY_kit;logo_CE_bw.ai;logo_safezone_cmyk.ai;;logo_Omnidec_bw.ai;logo_2easy_bw.ai;;;;"2Easy;CE;Omnidec;Safe";"logo_CE_bw.ai;logo_safezone_cmyk.ai;logo_2easy_bw.ai;logo_Omnidec_bw.ai";;;"Codice;Ricevente XF 433;Coppia di fotocellule orientabili BUS XP20B;Codice articolo;ENERGY kit 24V SAFE"
051;051;HIGH KIT;051_HIGH_KIT;logo_CE_bw.ai;logo_safezone_cmyk.ai;;logo_Omnidec_bw.ai;logo_2easy_bw.ai;;;;"2Easy;CE;Omnidec;Safe";"logo_CE_bw.ai;logo_safezone_cmyk.ai;logo_2easy_bw.ai;logo_Omnidec_bw.ai";;;"Codice;Coppia di fotocellule XP 20B D;Ricevente XF 433 MHz;Codice articolo;ENERGY kit 24V SAFE"
