page;product_name;model_name;model_sku;price;codici_modelli
160;B614;B614 Rosso RAL 3020;104614;1.556,00;"104614; 1046143"
160;B614;B614 Grigio RAL 9006;1046143;1.556,00;"104614; 1046143"
164;615BPR;615BPR Standard Arancio RAL 2004;104906;1.279,00;"104906; 104910"
164;615BPR;615BPR Standard Grigio RAL 9006;104910;1.279,00;"104906; 104910"
168;620 Standard;620 standard sx/dx;Vedi tabella seguente;2.518,00;Vedi tabella seguente
172;620 Rapida;620 Rapida sx/dx;Vedi tabella seguente;2.758,00;Vedi tabella seguente
176;B680H;B680H;104680;2.176,00;104680
187;Contenitori;Contenitore mod. LM per schede elettroniche;720309;83,00;"720309; 720119; 720118"
187;Contenitori;Contenitore mod. E per schede elettroniche;720119;35,00;"720309; 720119; 720118"
187;Contenitori;Contenitore mod. L per schede elettroniche;720118;55,00;"720309; 720119; 720118"
196;Dispositivi Simply Connect;XWBL;787378;116,00;"787378; 787510; 787349; 790418"
196;Dispositivi Simply Connect;XMBX4;787510;312,00;"787378; 787510; 787349; 790418"
196;Dispositivi Simply Connect;XRS485;787349;84,00;"787378; 787510; 787349; 790418"
196;Dispositivi Simply Connect;XMULTICOM;790418;221,00;"787378; 787510; 787349; 790418"
197;Applicazioni Simply Connect;XWBL;787378;116,00;"787378; 787510; 787349; 790418"
197;Applicazioni Simply Connect;XMBX4;787510;312,00;"787378; 787510; 787349; 790418"
197;Applicazioni Simply Connect;XRS485;787349;84,00;"787378; 787510; 787349; 790418"
197;Applicazioni Simply Connect;XMULTICOM;790418;221,00;"787378; 787510; 787349; 790418"
200;Sistema 433-868MHz FDS;XT2 FDS 433-868;787017;87,00 cad.;"787017; 787018; 787023; 787024; 787021; 787022; 787025"
200;Sistema 433-868MHz FDS;;787018;113,00 cad.;"787017; 787018; 787023; 787024; 787021; 787022; 787025"
200;Sistema 433-868MHz FDS;XR2N 433-868;787023;103,00;"787017; 787018; 787023; 787024; 787021; 787022; 787025"
200;Sistema 433-868MHz FDS;XR4N 433-868;787024;178,00;"787017; 787018; 787023; 787024; 787021; 787022; 787025"
200;Sistema 433-868MHz FDS;RP FDS 433-868;787021;171,00;"787017; 787018; 787023; 787024; 787021; 787022; 787025"
200;Sistema 433-868MHz FDS;RP2 FDS 433-868;787022;274,00;"787017; 787018; 787023; 787024; 787021; 787022; 787025"
200;Sistema 433-868MHz FDS;XF FDS 433-868;787025;132,00;"787017; 787018; 787023; 787024; 787021; 787022; 787025"
202;Sistema 433-868MHz FDS BD;XT2 FDS BD 433-868;787019;95,00 cad.;"787019; 787020; 787023; 787024; 787021; 787022; 787025"
202;Sistema 433-868MHz FDS BD;;787020;126,00 cad.;"787019; 787020; 787023; 787024; 787021; 787022; 787025"
202;Sistema 433-868MHz FDS BD;XR2N 433-868;787023;103,00;"787019; 787020; 787023; 787024; 787021; 787022; 787025"
202;Sistema 433-868MHz FDS BD;XR4N 433-868;787024;178,00;"787019; 787020; 787023; 787024; 787021; 787022; 787025"
202;Sistema 433-868MHz FDS BD;RP FDS 433-868;787021;171,00;"787019; 787020; 787023; 787024; 787021; 787022; 787025"
202;Sistema 433-868MHz FDS BD;RP2 FDS 433-868;787022;274,00;"787019; 787020; 787023; 787024; 787021; 787022; 787025"
202;Sistema 433-868MHz FDS BD;XF FDS 433-868;787025;132,00;"787019; 787020; 787023; 787024; 787021; 787022; 787025"
204;XTO - Sistema 868MHz SLH-DS;XTO2 868MHz;787030;41,00 cad.;"787030; 787031; 787854; 787855; 787832; 787023; 787024; 787834; 785534"
204;XTO - Sistema 868MHz SLH-DS;;787031;55,00 cad.;"787030; 787031; 787854; 787855; 787832; 787023; 787024; 787834; 785534"
204;XTO - Sistema 868MHz SLH-DS;RP 868 SLH-DS;787854;89,00;"787030; 787031; 787854; 787855; 787832; 787023; 787024; 787834; 785534"
204;XTO - Sistema 868MHz SLH-DS;RP2 868 SLH-DS;787855;137,00;"787030; 787031; 787854; 787855; 787832; 787023; 787024; 787834; 785534"
204;XTO - Sistema 868MHz SLH-DS;XF 868;787832;61,00;"787030; 787031; 787854; 787855; 787832; 787023; 787024; 787834; 785534"
204;XTO - Sistema 868MHz SLH-DS;XR2N FDS 433-868 MHz ;787023;103,00;"787030; 787031; 787854; 787855; 787832; 787023; 787024; 787834; 785534"
204;XTO - Sistema 868MHz SLH-DS;XR4N FDS 433-868 MHz;787024;178,00;"787030; 787031; 787854; 787855; 787832; 787023; 787024; 787834; 785534"
204;XTO - Sistema 868MHz SLH-DS;PLUS1 868 MHz;787834;92,00;"787030; 787031; 787854; 787855; 787832; 787023; 787024; 787834; 785534"
204;XTO - Sistema 868MHz SLH-DS;DECODER SLH;785534;88,00;"787030; 787031; 787854; 787855; 787832; 787023; 787024; 787834; 785534"
