page;nome_modello;sku;confezioni
114;740 E Z16 con encoder;1097805;<b>740 comprende:</b> un motoriduttore elettromeccanico con apparecchiatura elettronica 740D, encoder per sicurezza antischiacciamento, pignone per cremagliera, due chiavi di sblocco, piastra di fondazione, magnetici di finecorsa.
116;740 C con encoder;109600;<b>740 C comprende:</b> un motoriduttore elettromeccanico con apparecchiatura elettronica integrata, encoder per sicurezza antischiacciamento, pignone per cremagliera, due chiavi di sblocco, piastra di fondazione, magnetici di finecorsa.
118;741 E Z16 con encoder;1097815;<b>741 comprende:</b> un motoriduttore elettromeccanico con apparecchiatura elettronica 740D, encoder per sicurezza antischiacciamento, pignone per cremagliera, due chiavi di sblocco, piastra di fondazione, magnetici di finecorsa.
120;741 C con encoder;109602;<b>741 C comprende:</b> un motoriduttore elettromeccanico con apparecchiatura elettronica, encoder per sicurezza antischiacciamento, pignone per cremagliera, due chiavi di sblocco, piastra di fondazione, magnetici di finecorsa.
126;844 C 3PH;109928;<b>844 C 3PH comprende:</b> un motoriduttore predisposto per applicazione a cremagliera senza pignone e con scheda elettronica E844 3PH, lamierini finecorsa per assemblaggio meccanico, chiave di sblocco, carter copriviti.
126;844 R 3PH;109904;<b>844 C 3PH comprende:</b> un motoriduttore predisposto per applicazione a cremagliera senza pignone e con scheda elettronica E844 3PH, lamierini finecorsa per assemblaggio meccanico, chiave di sblocco, carter copriviti.
128;884 MC 3PH;109885;<b>884 MC 3PH comprende:</b> un motoriduttore predisposto per applicazione a cremagliera senza pignone e con scheda elettronica E844 3PH, lamierini di finecorsa, chiave di sblocco.
130;C851;109903;<b>C851 comprende:</b> un motoriduttore predisposto per applicazione a cremagliera con pignone Z28, con apparecchiatura elettronica E850S dotata di inverter a bordo e finecorsa magnetici e meccanici incorporati.
134;D600;110600;<b>D600 comprende:</b> un operatore elettromeccanico con apparecchiatura elettronica e lampada di cortesia temporizzata, accessori per l’installazione, dispositivo di sblocco interno.
136;D700 HS;110602;<b>D700 HS comprende:</b> un operatore elettromeccanico con apparecchiatura elettronica e lampada di cortesia temporizzata, accessori per l’installazione, dispositivo di sblocco interno.
138;D1000;110601;<b>D1000 comprende:</b> un operatore elettromeccanico con apparecchiatura elettronica e lampada di cortesia temporizzata, accessori per l’installazione, dispositivo di sblocco interno.
148;540 V BPR;109512;"<b>540 V BPR comprende:</b> un motoriduttore con finecorsa e scheda elettronica 540BPR integrata, piastra di fissaggio, dispositivo di sblocco d'emergenza ""a cordino"", dispositivo di movimentazione manuale ""a catena"" (verricello) per installazioni con altezza fino a 4 m."
148;541 V;109542;"<b>541 V comprende:</b> un motoriduttore con finecorsa ed encoder integrato, piastra di fissaggio, dispositivo di sblocco d'emergenza ""a cordino"", dispositivo di movimentazione manuale ""a catena"" (verricello) per installazioni con altezza fino a 4 m."
148;541 V 3PH;109550;"<b>541 V 3PH comprende:</b> un motoriduttore con finecorsa, piastra di fissaggio, dispositivo di sblocco d'emergenza ""a cordino"", dispositivo di movimentazione manuale ""a catena"" (verricello) per installazioni con altezza fino a 4 m."
150;580 CBAC;104501;<b>580 comprende:</b> un attuatore oleodinamico - con blocco idraulico in apertura/chiusura (580 CBAC) - senza blocco (580 SB), un condensatore di spunto 8μF 400V.
150;580 SB;104502;<b>580 comprende:</b> un attuatore oleodinamico - con blocco idraulico in apertura/chiusura (580 CBAC) - senza blocco (580 SB), un condensatore di spunto 8μF 400V.
150;D550 ITT;110123;<b>550 ITT / 550 L ITT comprende:</b> un attuatore elettromeccanico, carter di protezione con plafoniera incorporata, apparecchiatura elettronica E550, finecorsa meccanici di apertura e chiusura, encoder, lampada di cortesia temporizzata, un condensatore di spunto 10μF 400V (8μF 400V mod. L).
150;D550 L ITT;110127;<b>550 ITT / 550 L ITT comprende:</b> un attuatore elettromeccanico, carter di protezione con plafoniera incorporata, apparecchiatura elettronica E550, finecorsa meccanici di apertura e chiusura, encoder, lampada di cortesia temporizzata, un condensatore di spunto 10μF 400V (8μF 400V mod. L).
150;D550 L Slave;110125;<b>550 Slave / 550 L Slave comprende:</b> un attuatore elettromeccanico, carter di protezione con plafoniera incorporata, lampada di cortesia temporizzata, un condensatore di spunto 10μF 400V (8μF 400V mod. L).
150;D550 Slave S/L;110124;<b>550 Slave / 550 L Slave comprende:</b> un attuatore elettromeccanico, carter di protezione con plafoniera incorporata, lampada di cortesia temporizzata, un condensatore di spunto 10μF 400V (8μF 400V mod. L).
154;390 230V;104570;<b>390 230V comprende:</b> un operatore elettromeccanico, accessori per l’installazione, un condensatore di spunto 8μF 400V, una chiave di sblocco.
156;560 CBAC;104561;<b>560 comprende:</b> un attuatore oleodinamico - con blocco idraulico in apertura/chiusura <b>(560 CBAC)</b> - senza blocco idraulico <b>(560 SB)</b> , un condensatore di spunto 8μF 400V.
156;560 SB;104562;<b>560 comprende:</b> un attuatore oleodinamico - con blocco idraulico in apertura/chiusura <b>(560 CBAC)</b> - senza blocco idraulico <b>(560 SB)</b> , un condensatore di spunto 8μF 400V.
160;B614 Grigio RAL 9006;1046143;<b>B614 comprende:</b> corpo barriera, motoriduttore elettromeccanico e sistema di trasmissione, apparecchiatura elettronica, accessori d'installazione, una chiave di sblocco triangolare.
160;B614 Rosso RAL 3020;104614;<b>B614 comprende:</b> corpo barriera, motoriduttore elettromeccanico e sistema di trasmissione, apparecchiatura elettronica, accessori d'installazione, una chiave di sblocco triangolare.
164;615BPR Standard Arancio RAL 2004;104906;<b>615BPR comprende:</b> corpo barriera, sistema oleodinamico di trasmissione completo di centralina oleodinamica e pistone a doppio effetto, scheda elettronica 615BPR incorporata, accessori d’installazione, una chiave di sblocco triangolare.
164;615BPR Standard Grigio RAL 9006;104910;<b>615BPR comprende:</b> corpo barriera, sistema oleodinamico di trasmissione completo di centralina oleodinamica e pistone a doppio effetto, scheda elettronica 615BPR incorporata, accessori d’installazione, una chiave di sblocco triangolare.
176;B680H;104680;<b>B680H comprende:</b> montante barriera con apparecchiatura elettronica ed encoder assoluto, sistema oleodinamico di trasmissione del moto, accessori d’installazione, una chiave di sblocco triangolare. NON sono comprese la tasca, la molla di bilanciamento (vendute congiuntamente con un altro codice) ed il cofano.
242;RH200B EF;109961;<b>RH200B comprende:</b> un motoriduttore, adattatori scatole portamolle 200/220, accessori per l’installazione. Le versioni EF comprendono l’elettrofreno già montato.
242;RH200B REVERSIBILE;109960;<b>RH200B comprende:</b> un motoriduttore, adattatori scatole portamolle 200/220, accessori per l’installazione. Le versioni EF comprendono l’elettrofreno già montato.
244;RH240 EF;109971;<b>RH240 EF comprende:</b> un motoriduttore con elettrofreno già montato e accessori per l’installazione.
