categoria_prodotto,nome_prodotto,nome_asta,pagina_catalogo,tipo_layout,immagine_principale,720118,titolo_prodotto,descrizione_prodotto,intensita_transito,caratteristica_primaria,valore_primario,caratteristica_secondaria,valore_secondario,caratteristica_terziaria,valore_terziario,novita,veloce,solare,brevetto_faac,badge_sistemi,codice_qr,certificazioni,descrizione_categoria,contenuto_confezione,schema_installazione,immagne_schema,componenti_kit,immagine_kit,sku_correlati,prodotti_correlati,Unnamed: 29,note_prodotto,quote_installazione,grafico_tecnico,tabella_molle,accessori_disponibili,immagine_schema,prototipo
Categoria,Prodotto,,Page,Layout,Prodotto Immagine,Modelli,Titolo,Descrizione,Transito (Basso;Medio;Alto),Prodotto Caratteristica Label 1,Prodotto Caratteristica Value 1,Prodotto Caratteristica Label 2,Prodotto Caratteristica Value 2,Caratteristica Terziaria,Valore Terziario,New,Fast,Solar,FAAC Patent,Icone,QRCode,Certificazioni,Categoria Descrizione Intestazione Prodotto,Confezioni,Schema Installazione,,Kit,Kit Immagine,SKU Correlate,Prodotti Correlati,Sku_binari_cinghia,Note,Quote,Grafico,Tabella Numero Molle,Altri Accessori,Immagine Schema,prototipo
CLASSIC KIT,SOLID kit,,58,Kit special,10561644_IT.tif,10561644,Automazione elettromeccanica 230V,,,Larghezza max porta,3 m,Peso max porta,10 Kg/mq,,,,,,,Safe,,CE,Automazioni in kit per porte basculanti,,,,1|110549;1!10561644i;1|424550001-50;1|787852;1|787007;1|CARTFA,10561644components.tif,,,,Attenzione: bracci telescopici e tubi di trasmissione non compresi nella confezione.,,,,,,
CLASSIC KIT,DOLPHIN kit,,59,Kit special,10566544_IT.tif,10566544,Automazione elettromeccanica 24V a traino,,,Forza max tiro/spinta,600N,,,,,,,,,Safe,,CE;Omnidec,Automazioni in kit per porte basculanti,,,,1|110600;1|787831;1|787007;1|CARTFA,10566544components.tif,,,,,,,,,,
CLASSIC KIT,Rotor Kit,,60,Kit special,109940_Rotor_Kit.tif,109940,Motoriduttore 230V per serrande avvolgibili,,,Capacità di sollevamento,Fino a 180 kg,,,,,,,,,Safe;Green,,CE,Automazioni in kit per serrande,,,,1|109951;1|391456;1|790905;1|720119;1|787852;1|787008;1|785102,109940components.tif,,,,,,,,,,
CLASSIC KIT,TM2K KIT MINI,,62-63,Automazione,143201.tif,143201;143202;143203,TM2K KIT MINI,Automazione per tapparelle manuali o già motorizzate,,Coppia max,25 - 50 Nm,Velocità max,12 - 17 rpm,Capacità di sollevamento,Fino a 90 Kg,,,,,,,CE,,1 Motore Tubolare TM245 (corredato di istruzioni e chiave di regolazione);1 Adattatore per tubo ottagonale Ø60mm;1 Supporto motore;3 Attacchi flessibili in acciaio per attaccare la tapparella al rullo avvolgitore,,,1|143201i;1|143201i2;1|143201i3;3|143201i4,143201_components.tif,145405;145412;145504;145505;145421;145422;145423;145424;145630,,,"Il motore tubolare nexTMODE è compatibile sia con tutti i supporti FAAC sia con i principali supporti in commercio. Per il comando radio dei motori tramite ricevente esterna TM2 X Compact o TM2 X Mini, aggiungere sempre una trasmittente nexTMODE 433 MHz",,,,,,
Automazioni per ante a battente esterno,S418,,72-73,Automazione,,104301,Attuatore elettromeccanico 24V,"Elevata velocità di movimentazione regolabile. 
• Staffa di fissaggio “multi posizione” non a saldare. 
• Arresti meccanici in apertura e chiusura integrati (possibilità di non installare battute meccaniche).",Basso,Larghezza max anta,"2,3 m (2,7 m con elettroserratura)",Peso,6 Kg,,,,1,1,,Safe|<b>Sistema 24V SAFEzone:</b><br>S418 + E024S o E124S; green|<b>Sistema 24V GREENtech:</b></br>S418 + E124S,,CE;Simply,"""Automazioni per ante a battente esterno""","S418 comprende: un attuatore elettromeccanico, accessori per l’installazione, una chiave di sblocco.",,,,,102011 ; 790286; 790305;390130;390923;390926;790062,,,Non è compatibile con la scheda E124S. t Le 2 batterie Pb standard non sono fornite da FAAC e devono avere tensione/corrente 12V/4Ah. Dimensioni: 90X70X108 mm,,,,,,
Automazioni per ante a battente esterno,412,,74-75,Automazione,104471.tif,104470;104471,Attuatore elettromeccanico 230V,"• Attuatore irreversibile, non necessita elettroserratura.
 • Installazione e manutenzione semplificata.
 • Dispositivo di sblocco accessibile sul lato posteriore dell'attuatore.",Medio,Larghezza max anta,"1,8 m",Peso,"6,5 kg",,,,,,,"Safe|<b> Sistema 230V SAFEzone:</b><br> 412 + E045S o E145S
+ SAFEcoder;Green|<b>Sistema 230V GREENtech:</b></br>412 + E045S o
E145S",,CE;Simply,"""Automazioni per ante a battente esterno""","412 dx o sx comprende: un attuatore elettromeccanico (DX o SX),
 accessori per l’installazione, una chiave di sblocco, un condensatore di
 spunto 8μF 400V.",,,,,790076;790077;720118;720119;720309;737604;713009;404041;790062,,,La versione per ante destra (DX e SX) si determina con vista dall'interno della proprietà.,,,,,,
Automazioni per ante a battente esterno,413 230V,,76-77,Automazione,104413.tif,104413,Attuatore elettromeccanico 230V,"• Attuatore a spinta “Fuori asse”.
 • Arresti meccanici in apertura / chiusura in dotazione di serie.
 • Uscita cavi orizzontale per permettere l’installazione vicina al suolo (installazione bassa).",Medio,Larghezza max anta,"1,8 m (2,5 con elettroserratura)",Velocità max stelo,16 mm/s (*),,,,,,,"Safe|<b>Sistema 230V SAFEzone::</b><br>413 230V + E045S o
E145S + SAFEcoder;Green|<b>Sistema 230V GREENtech:</b></br>413 230V + E045S
o E145S",,CE;Simply,"""Automazioni per ante a battente esterno""","413 230V comprende: un attuatore elettromeccanico, accessori per
 l’installazione, una chiave di sblocco, un condensatore di spunto 6,3μF
 400V.
 La versione LS include i finecorsa elettrici.",,,,,790076; 790077;720118;720119;720309;737604;404040;790062;490349,,,,,,,,,
Automazioni per ante a battente esterno,415 230V,,78-79,Automazione,104417.tif,104415;104417,Attuatore elettromeccanico 230V,"• Attuatore a spinta “in asse”.
 • Disponibili in versioni con corsa stelo 300 mm (max anta 3 m) e 400 mm (max anta 4 m).
 • Uscita cavi orizzontale per permettere l’installazione vicina al suolo (installazione bassa).",Medio,Larghezza max anta,"2,5 m (3 m con elettroserratura) 3 m (4 m con elettroserratura)",Velocità max stelo,16 mm/s (*),,,,,,,"Safe|<b>Sistema 230V
SAFEzone:</b><br>413 230V + E045S o
E145S + SAFEcoder;Green|<b>Sistema 230V GREENtech:</b></br>415 230V + E045S
o E145S",,CE;Simply,"""Automazioni per ante a battente esterno""","415 230V comprende: un attuatore elettromeccanico, accessori per
 l’installazione, una chiave di sblocco, un condensatore di spunto 8μF 400V.",,,,,790076; 790077; 720118;720119;720309;737604;404040;790062;727525;490349,,,,,,,,,
Automazioni per ante a battente esterno,415 24V,,80-81,Automazione,1044151.tif,1044151;1044171,Attuatore elettromeccanico 24V,"• Attuatore a spinta “in asse”. 
• Disponibili in versioni con corsa stelo 300 mm (max anta 3 m) e 400 mm (max anta 4 m). 
• Uscita cavi orizzontale per permettere l’installazione vicina al suolo (installazione bassa).












",Medio,Larghezza max anta,"2,5 m (3 con elettroserratura) 3 m (4 con elettroserratura)",Velocità max stelo,16 mm/s,,,,1,1,,Safe|<b>Sistema 24V SAFEzone:</b><br>415 24V + E024S o E124S;Green|<b>Sistema 230V GREENtech:</b></br>415 24V + E124S,,CE;Simply,"""Automazioni per ante a battente esterno""","415 24V comprende: un attuatore elettromeccanico, accessori per
l’installazione e una chiave di sblocco.",,,,,102011;790286;790305;390130;390923;390926;737604;790062;727525;490349 ,,,Non è compatibile con la scheda E124S. t Le 2 batterie Pb standard non sono fornite da FAAC e devono avere tensione/corrente 12V/4Ah. Dimensioni: 90X70X108 mm,,,,,,
Automazioni per ante a battente esterno,390 230V,,82-83,Automazione,104570.tif,104570,Attuatore elettromeccanico a braccio articolato 230V,"• Attuatore irreversibile, non richiede elettroserratura fino a 1,8 m.
 • Adatto per l'utilizzo su pilastri di grosse dimensioni, grazie al braccio articolato.
 • Dispositivo di sblocco manuale azionabile dall'interno proprietà o dall'esterno.",Medio,Larghezza max anta,"1,8 m (3 m con elettroserratura)",,,,,,,,,"Green|<b>Sistema 230V GREENtech:</b><br>390 230V + E045S
o E145S",,CE;Simply,"""Automazioni per ante a battente esterno""","390 230V comprende: un operatore elettromeccanico, accessori per l’installazione, un condensatore di spunto 8μF 400V, una chiave di sblocco",,,,,790077; 790076; 720118; 720119; 720309; 738705; 401057; 390682; 790062,,,"ATTENZIONE: gli operatori 390 devono essere corredati di braccio snodato
(cancello a battente) o telescopico (per porte a libro).
ATTENZIONE: per un corretto funzionamento verificare che tra la cerniera del
cancello e il bordo del pilastro sia presente una distanza max di 300 mm.
Per un cancello a due ante prevedere due operatori, due bracci snodati ed
un’apparecchiatura elettronica di comando.
Gli operatori 390 possono essere corredati di un finecorsa in apertura e di
un finecorsa in chiusura. Per la gestione del/i finecorsa sul 390 è necessario
utilizzare la scheda E145S.",,,,,,
