Page,Product,nome_modello,codice_sku,(in base alla frequenza scelta 433MHz o 868MHz),") e nasce per la realizzazione di impianti altamente professionali in cui sia richiesta la programmazione dei radiocomandi e delle schede di memoria con codici dedicati tramite unità di programmazione e/o tramite software a PC. Ciò consente inoltre la creazione dei archivi a PC dei codici presenti su ogni impianto realizzato, agevolando di conseguenza la gestione dell’impianto (aggiunta codici radio da remoto).",Altezza max serranda,Altezza min architrave,Altezza profilo in gomma,Angolo max apertura anta,Apparecchiatura elettronica,Arresti meccanici integrati in apertura e chiusura,Capacità di memoria 1000 codici espandibili fino a,Capacità di sollevamento,Collegamento,Condensatore di spunto,Coppia max,Corsa dello stelo,Diametro albero serranda,Diametro scatole portamolle,Dimensioni (LxPxH),Encoder,Finecorsa,Forza max di spinta,Frequenza di emissione,Frequenza di ricezione,Frequenza di utilizzo,"Frequenza d’utilizzo 433,92 - 868,35 MHz","Frequenza d’utilizzo 433,92 MHz","Frequenza d’utilizzo 868,35 MHz","Frequenza d’utilizzo 868,35 MHz o 433,92 MHz",Grado di protezione,Larghezza max anta,Larghezza max serranda,Lunghezza max anta,Lunghezza max asta,Memoria codici radio,Modulo di frequenza,Motore elettrico,Numero max LETTORI collegabili su scheda con Bus2Easy,Numero max schede di decodifica collegabili,Numero max. di codici utente,Numero max. di comandi,Peso,Peso max anta,Peso max anta cantilever,Peso max porta,Peso operatore,Pignone,Portata contatti,Portata gruppo motore-pompa,Potenza max,Protocollo radio basato sulla modulazione di frequenza con prestazioni ottimali in termini di autonomia e durata della batteria; la trasmissione radio è protetta dall'algoritmo di crittografia simmetrica,Rapporto di riduzione,Regolazione della forza,Regolazione velocità e controllo motore,Spazio di fermata,Staffe di fissaggio,Temperatura ambiente di esercizio,Temperatura di esercizio,Tempo di apertura,Tempo di utilizzo continuo (ROT),Tensione di alimentazione,Tensione di alimentazione accessori,Tensione di alimentazione di rete,Tensione di alimentazione elettroserratura,Termoprotezione,Tipo di asta,Tipo di olio,Tipo di rallentamento,Tipo di utilizzo,Velocità angolare max,Velocità dell'anta,Velocità di rallentamento,Velocità di rotazione motore,Velocità max,Velocità max anta,Velocità max carrello,Velocità max stelo,"le trasmittenti e le riceventi sono in grado di comunicare a 868MHz-433MHz in time sharing, senza dover scegliere preventivamente la frequenza di lavoro, semplificando così la gestione delle attività di installazione/manutenzione."
90-91,400,400 SBS L,104220,,,,,,125°,268,,,,,,,390 mm,,,1277 x 85 x 119 mm,,,7750 N (*),,,40 cicli/ora,,,,,IP55,"7,00 m (con elettroserratura)",,,,,,Asincrono monofase,,,,,10 Kg,,,,,,,"0,75 lpm (*)",220 W,,,,,,Attacco posteriore a saldare/avvitare - attacco anteriore a saldare,-20°C ÷ + 55°C,,,,,,220-240V~ 50/60 Hz,,120°C,,FAAC HP OIL,,,,,,,,,,"7,5 mm/s (*)",
92-94,S450H,S450H CBAC,104100,,,,,,110°,Non compresa,,,,,,,311 mm,,,1131 x 85 x 119 mm,,,> 5000 N,,,Uso continuo,,,,,IP55,2 m,,,,,,Con spazzole 24V,,,,,"6,5 Kg",,,,,,,,60 W,,,,,,Posteriore multiposizione ad avvitare - anteriore ad avvitare regolabile,-20°C ÷ +55°C,,,,,,220-240V~ 50/60 Hz,,,,FAAC HP OIL,,,,,,,,,,>25 mm/sec,
92-94,S450H,S450H SB,104101,,,,,,110°,,,,,,,,311 mm,,,1131 x 85 x 119 mm,,,> 5000 N,,,Uso continuo,,,,,IP55,3 m,,,,,,Con spazzole 24V,,,,,"6,5 Kg",,,,,,,,60 W,,,,,,Posteriore multiposizione ad avvitare - anteriore ad avvitare regolabile,-20°C ÷ +55°C,,,,,,220-240V~ 50/60 Hz,,,,FAAC HP OIL,,,,,,,,,,>25 mm/sec,
96-97,S2500I,S2500I 24V,104250,,,,,,165°,non compresa,opzionali,,,,,320Nm,,,,340 x 160 x 150 mm,Assoluto Magnetico BUS,,,,,,,,,,IP X4,"2 m (2,5m con elettroserratura)",,,,,,Con spazzole 24V,,,,,"7,9 Kg (attuatore) - 3,3 Kg (cerniera) - 1,8 Kg (cover)",250 Kg,,,,,,,40W,,,,,,,-20°C ÷ + 55°C,,,Continuo a 55°C,,,220-240V~ 50/60 Hz,,,,,,,10°/s,,,,,,,,
98-99,770N 230V,770N 230V,,,,,,,110° (140° e 180° con kit opzionale),Non compresa,,,,,,330 Nm (*),,,,"362 x 153 x 127 (cassetta portante 430 x 307,5 x 214) mm",,,,,,S3 30%,,,,,IP67,"2 m (3,5 m con elettroserratura)",,,,,,Asincrono monofase,,,,,12 Kg (con cassetta portante 14 Kg),500 Kg (vedi grafico),,,,,,,380 W,,,,,,,-20°C ÷ + 55°C,,,,,,220-240V~ 50/60 Hz,,140°C,,,,,6 °/s (*),,,,,,,,
100-101,770N 24V,770N 24V,,,,,,,110° (140° e 180° con kit opzionale),Non compresa,,,,,,330 Nm,,,,"362 x 153 x 127 (cassetta portante 430 x 307,5 x 214) mm",,,,,,Uso continuo,,,,,IP67,"2 m (3,5 m con elettroserratura)",,,,,,Con spazzole 24V,,,,,12 Kg (con cassetta portante 14 Kg),500 Kg (vedi grafico),,,,,,,70 W,,,,,,,-20°C ÷ + 55°C,,,,,,220-240V~ 50/60 Hz,,,,,,,6 °/s,,,,,,,,
102-103,S800H ENC,S800H ENC CBAC 100°,108720,,,,,,,Non compresa,,,,,,,,,,Attuatore 380 x 220 x 160 - cassetta portante 507 x 283 x 200 mm,,,,,,Uso continuo,,,,,IP67,2 m,,,,,,Con spazzole 24V,,,,,14 Kg,800 Kg,,,,,,,60 W,,,,,,,-20°C ÷ +55°C,,,,,,220-240V~ 50/60 Hz,,,,FAAC HP OIL,,,"5,5°/s (con E024S) - 8,2°/s (con E124)",,,,,,,,
102-103,S800H ENC,S800H ENC SBW 100°,108724,,,,,,,Non compresa,,,,,,,,,,Attuatore 450 x 220 x 160 - cassetta portante 507 x 283 x 200 mm,,,,,,Uso continuo,,,,,IP67,4 m,,,,,,Con spazzole 24V,,,,,15 Kg,800 Kg,,,,,,,60 W,,,,,,,-20°C ÷ +55°C,,,,,,220-240V~ 50/60 Hz,,,,FAAC HP OIL,,,"5,5°/s (con E024S) - 8,2°/s (con E124)",,,,,,,,
102-103,S800H ENC,S800H ENC CBAC 180°,108722,,,,,,,Non compresa,,,,,,,,,,Attuatore 450 x 220 x 160 - cassetta portante 507 x 283 x 200 mm,,,,,,Uso continuo,,,,,IP67,2 m,,,,,,Con spazzole 24V,,,,,15 Kg,800 Kg,,,,,,,60 W,,,,,,,-20°C ÷ +55°C,,,,,,220-240V~ 50/60 Hz,,,,FAAC HP OIL,,,"5,5°/s (con E024S) - 8,2°/s (con E124)",,,,,,,,
102-103,S800H ENC,S800H ENC SBW 180°,108725,,,,,,,Non compresa,,,,,,,,,,Attuatore 450 x 220 x 160 - cassetta portante 507 x 283 x 200 mm,,,,,,Uso continuo,,,,,IP67,4 m,,,,,,Con spazzole 24V,,,,,15 Kg,800 Kg,,,,,,,60 W,,,,,,,-20°C ÷ +55°C,,,,,,220-240V~ 50/60 Hz,,,,FAAC HP OIL,,,"5,5°/s (con E024S) - 8,2°/s (con E124)",,,,,,,,
