codice_sku,num_variants,variant_num,tipo_componente,nome_modello,descrizione_breve,tensione_alimentazione,potenza_massima
1044171,3,1,Modello,415 L 24V,,220-240V~ 50/60 Hz,70 W
1044171,3,2,Modello,415 L 24V,Attuatore elettromeccanico 24V,220-240V~ 50/60 Hz,70 W
1044171,3,3,accessorio,,,,
104468,3,1,Modello,402 CBC,Attuatori oleodinamici 402 CBC,220-240V~ 50/60 Hz,220 W
104468,3,2,Modello,402 CBC,Attuatore oleodinamico 230V,220-240V~ 50/60 Hz,220 W
104468,3,3,accessorio,,Attuatori 402 CBC,,
104470,3,1,Modello,412 dx,Attuatore elettromeccanico 412 destro,220-240V~ 50/60 Hz,280 W
104470,3,2,Modello,412 dx,Attuatore elettromeccanico 230V,220-240V~ 50/60 Hz,280 W
104470,3,3,accessorio,,Attuatore 412 dx,,
104471,3,1,Modello,412 sx,Attuatore elettromeccanico 412 sinistro,220-240V~ 50/60 Hz,280 W
104471,3,2,Modello,412 sx,Attuatore elettromeccanico 230V,220-240V~ 50/60 Hz,280 W
104471,3,3,accessorio,,Attuatore 412 sx,,
104474,3,1,Modello,402 SBS,,220-240V~ 50/60 Hz,220 W
104474,3,2,Modello,402 SBS,Attuatore oleodinamico 230V,220-240V~ 50/60 Hz,220 W
104474,3,3,accessorio,,,,
104501,3,1,Modello,580 CBAC,,220-240V~ 50/60 Hz,220 W
104501,3,2,accessorio,,580 CBAC,,
104501,3,3,accessorio,,Attuatore 580 CBAC,,
104502,3,1,Modello,580 SB,,220-240V~ 50/60 Hz,220 W
104502,3,2,accessorio,,580 SB,,
104502,3,3,accessorio,,,,
104570,3,1,Modello,390 230V,,220-240V~ 50/60 Hz,280 W
104570,3,2,Modello,390 230V,Attuatore elettromeccanico a braccio articolato 230V,220-240V~ 50/60 Hz,280 W
104570,3,3,accessorio,,Attuatori 390 230V,,
104583,3,1,Modello,392 C,Attuatore 392 C con scheda elettronica e braccio articolato,,
104583,3,2,Modello,392 C,Attuatore elettromeccanico a braccio articolato 24V,220-240V~ 50/60 Hz,
104583,3,3,accessorio,,Attuatore 392 C con scheda elettronica e braccio articolato,,
