Page,Product,SKU_Type,Modello,Codice_SKU,Prezzo,Attribute_Name,Attribute_Value,Tensione di alimentazione di rete,Motore elettrico,Velocità di rotazione motore,Potenza max,Coppia max,Portata gruppo motore-pompa,Tipo di materiale,Tipo di trattamento,Encoder,Tipo di rallentamento,Tipo di asta,Temperatura ambiente di esercizio,Termoprotezione,Raffreddamento,Grado di protezione,Peso,Tipo di olio,Dimensioni (LxPxH),Lunghezza max asta,Tempo di apertura,Frequenza di utilizzo,Apparecchiatura elettronica
168-171,620 Standard,Arm,Asta 3.300,428042,"185,00",Lunghezza (mm),3.300,220-240V~ 50/60 Hz,Asincrono monofase,1400 rpm (*),220 W,0 ÷ 220 / 0 ÷ 180 Nm (*),"0,75-1 lpm (*)",Acciaio,Primer anticorrosivo 100 microns + Verniciatura in poliestere RAL 2004,No - sicurezza oleodinamica antischiacciamento,Elettronico - Regolabile con camme,Rettangolare - Rettangolare con siepe - Articolata - Tonda - Tonda pivottante,-20°C ÷ +55°C,120°C,-,IP44,73 Kg,FAAC HP OIL,350 x 170 x 1080 mm,5 m,"3,5 s (90° - 3 m) - 4,5 s (90° - 4 m)",70%,624BLD incorporata
168-171,620 Standard,Arm,Asta 4.300 *,428043,"230,00",Lunghezza (mm),4.300 *,220-240V~ 50/60 Hz,Asincrono monofase,1400 rpm (*),220 W,0 ÷ 220 / 0 ÷ 180 Nm (*),"0,75-1 lpm (*)",Acciaio,Primer anticorrosivo 100 microns + Verniciatura in poliestere RAL 2004,No - sicurezza oleodinamica antischiacciamento,Elettronico - Regolabile con camme,Rettangolare - Rettangolare con siepe - Articolata - Tonda - Tonda pivottante,-20°C ÷ +55°C,120°C,-,IP44,73 Kg,FAAC HP OIL,350 x 170 x 1080 mm,5 m,"3,5 s (90° - 3 m) - 4,5 s (90° - 4 m)",70%,624BLD incorporata
168-171,620 Standard,Arm,Asta 2.300,428045,"155,00",Lunghezza (mm),2.300,220-240V~ 50/60 Hz,Asincrono monofase,1400 rpm (*),220 W,0 ÷ 220 / 0 ÷ 180 Nm (*),"0,75-1 lpm (*)",Acciaio,Primer anticorrosivo 100 microns + Verniciatura in poliestere RAL 2004,No - sicurezza oleodinamica antischiacciamento,Elettronico - Regolabile con camme,Rettangolare - Rettangolare con siepe - Articolata - Tonda - Tonda pivottante,-20°C ÷ +55°C,120°C,-,IP44,73 Kg,FAAC HP OIL,350 x 170 x 1080 mm,5 m,"3,5 s (90° - 3 m) - 4,5 s (90° - 4 m)",70%,624BLD incorporata
168-171,620 Standard,Arm,Asta 2.000 *,428046,"134,00",Lunghezza (mm),2.000 *,220-240V~ 50/60 Hz,Asincrono monofase,1400 rpm (*),220 W,0 ÷ 220 / 0 ÷ 180 Nm (*),"0,75-1 lpm (*)",Acciaio,Primer anticorrosivo 100 microns + Verniciatura in poliestere RAL 2004,No - sicurezza oleodinamica antischiacciamento,Elettronico - Regolabile con camme,Rettangolare - Rettangolare con siepe - Articolata - Tonda - Tonda pivottante,-20°C ÷ +55°C,120°C,-,IP44,73 Kg,FAAC HP OIL,350 x 170 x 1080 mm,5 m,"3,5 s (90° - 3 m) - 4,5 s (90° - 4 m)",70%,624BLD incorporata
168-171,620 Standard,Arm,Asta 2.315,428088,"152,00",Lunghezza (mm),2.315,220-240V~ 50/60 Hz,Asincrono monofase,1400 rpm (*),220 W,0 ÷ 220 / 0 ÷ 180 Nm (*),"0,75-1 lpm (*)",Acciaio,Primer anticorrosivo 100 microns + Verniciatura in poliestere RAL 2004,No - sicurezza oleodinamica antischiacciamento,Elettronico - Regolabile con camme,Rettangolare - Rettangolare con siepe - Articolata - Tonda - Tonda pivottante,-20°C ÷ +55°C,120°C,-,IP44,73 Kg,FAAC HP OIL,350 x 170 x 1080 mm,5 m,"3,5 s (90° - 3 m) - 4,5 s (90° - 4 m)",70%,624BLD incorporata
168-171,620 Standard,Arm,Asta 2.815,428089,"173,00",Lunghezza (mm),2.815,220-240V~ 50/60 Hz,Asincrono monofase,1400 rpm (*),220 W,0 ÷ 220 / 0 ÷ 180 Nm (*),"0,75-1 lpm (*)",Acciaio,Primer anticorrosivo 100 microns + Verniciatura in poliestere RAL 2004,No - sicurezza oleodinamica antischiacciamento,Elettronico - Regolabile con camme,Rettangolare - Rettangolare con siepe - Articolata - Tonda - Tonda pivottante,-20°C ÷ +55°C,120°C,-,IP44,73 Kg,FAAC HP OIL,350 x 170 x 1080 mm,5 m,"3,5 s (90° - 3 m) - 4,5 s (90° - 4 m)",70%,624BLD incorporata
168-171,620 Standard,Arm,Asta 3.815,428090,"188,00",Lunghezza (mm),3.815,220-240V~ 50/60 Hz,Asincrono monofase,1400 rpm (*),220 W,0 ÷ 220 / 0 ÷ 180 Nm (*),"0,75-1 lpm (*)",Acciaio,Primer anticorrosivo 100 microns + Verniciatura in poliestere RAL 2004,No - sicurezza oleodinamica antischiacciamento,Elettronico - Regolabile con camme,Rettangolare - Rettangolare con siepe - Articolata - Tonda - Tonda pivottante,-20°C ÷ +55°C,120°C,-,IP44,73 Kg,FAAC HP OIL,350 x 170 x 1080 mm,5 m,"3,5 s (90° - 3 m) - 4,5 s (90° - 4 m)",70%,624BLD incorporata
168-171,620 Standard,Arm,Asta 4.815,428091,"207,00",Lunghezza (mm),4.815,220-240V~ 50/60 Hz,Asincrono monofase,1400 rpm (*),220 W,0 ÷ 220 / 0 ÷ 180 Nm (*),"0,75-1 lpm (*)",Acciaio,Primer anticorrosivo 100 microns + Verniciatura in poliestere RAL 2004,No - sicurezza oleodinamica antischiacciamento,Elettronico - Regolabile con camme,Rettangolare - Rettangolare con siepe - Articolata - Tonda - Tonda pivottante,-20°C ÷ +55°C,120°C,-,IP44,73 Kg,FAAC HP OIL,350 x 170 x 1080 mm,5 m,"3,5 s (90° - 3 m) - 4,5 s (90° - 4 m)",70%,624BLD incorporata
168-171,620 Standard,Arm,Asta 3.000,428176,"346,00",Lunghezza (mm),3.000,220-240V~ 50/60 Hz,Asincrono monofase,1400 rpm (*),220 W,0 ÷ 220 / 0 ÷ 180 Nm (*),"0,75-1 lpm (*)",Acciaio,Primer anticorrosivo 100 microns + Verniciatura in poliestere RAL 2004,No - sicurezza oleodinamica antischiacciamento,Elettronico - Regolabile con camme,Rettangolare - Rettangolare con siepe - Articolata - Tonda - Tonda pivottante,-20°C ÷ +55°C,120°C,-,IP44,73 Kg,FAAC HP OIL,350 x 170 x 1080 mm,5 m,"3,5 s (90° - 3 m) - 4,5 s (90° - 4 m)",70%,624BLD incorporata
168-171,620 Standard,Arm,Asta Giunto *,428615,"55,00",Lunghezza (mm),Giunto *,220-240V~ 50/60 Hz,Asincrono monofase,1400 rpm (*),220 W,0 ÷ 220 / 0 ÷ 180 Nm (*),"0,75-1 lpm (*)",Acciaio,Primer anticorrosivo 100 microns + Verniciatura in poliestere RAL 2004,No - sicurezza oleodinamica antischiacciamento,Elettronico - Regolabile con camme,Rettangolare - Rettangolare con siepe - Articolata - Tonda - Tonda pivottante,-20°C ÷ +55°C,120°C,-,IP44,73 Kg,FAAC HP OIL,350 x 170 x 1080 mm,5 m,"3,5 s (90° - 3 m) - 4,5 s (90° - 4 m)",70%,624BLD incorporata
