Page,Product,Spec_Label,Model_1,Model_1_SKU,Value_1,Model_2,Model_2_SKU,Value_2,Model_3,Model_3_SKU,Value_3,Model_4,Model_4_SKU,Value_4,Model_5,Model_5_SKU,Value_5,Model_6,Model_6_SKU,Value_6,Model_7,Model_7_SKU,Value_7,Model_8,Model_8_SKU,Value_8,Model_9,Model_9_SKU,Value_9,Model_10,Model_10_SKU,Value_10,Model_11,Model_11_SKU,Value_11
080-081,415 24V,Larghezza max anta,415 24V,1044151,"2,5 m (3 con elettroserratura)",415 L 24V,1044171,3 m (4 con elettroserratura),,,,,,,,,,,,,,,,,,,,,,,,,,,
080-081,415 24V,Staffe di fissaggio,415 24V,1044151,Attacco posteriore a saldare/avvitare - attacco anteriore a saldare/avvitare,415 L 24V,1044171,,,,,,,,,,,,,,,,,,,,,,,,,,,,
080-081,415 24V,Dimensioni (LxPxH),415 24V,1044151,836 x 101 x 147 mm,415 L 24V,1044171,942 x 101 x 148 mm,,,,,,,,,,,,,,,,,,,,,,,,,,,
080-081,415 24V,Apparecchiatura elettronica,415 24V,1044151,Non compresa,415 L 24V,1044171,,,,,,,,,,,,,,,,,,,,,,,,,,,,
082-083,390 230V,Tensione di alimentazione di rete,390 230V,104570,220-240V~ 50/60 Hz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
082-083,390 230V,Motore elettrico,390 230V,104570,Asincrono monofase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
082-083,390 230V,Potenza max,390 230V,104570,280 W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
082-083,390 230V,Coppia max,390 230V,104570,250 Nm (*),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
082-083,390 230V,Velocità angolare max,390 230V,104570,8 °/s (*),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
082-083,390 230V,Angolo max apertura anta,390 230V,104570,120°,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
082-083,390 230V,Temperatura ambiente di esercizio,390 230V,104570,-20°C ÷ +55°C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
082-083,390 230V,Termoprotezione,390 230V,104570,140°C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
082-083,390 230V,Grado di protezione,390 230V,104570,IP44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
082-083,390 230V,Peso,390 230V,104570,"11,5 Kg",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
082-083,390 230V,Frequenza di utilizzo,390 230V,104570,S3 - 30%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
082-083,390 230V,Larghezza max anta,390 230V,104570,"1,8 m (3 m con elettroserratura)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
082-083,390 230V,Dimensioni (LxPxH),390 230V,104570,412 x 133 x 134 mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
082-083,390 230V,Apparecchiatura elettronica,390 230V,104570,Non compresa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
084-085,392 C,Tensione di alimentazione di rete,392 C,104583,220-240V~ 50/60 Hz,392,104584,-,,,,,,,,,,,,,,,,,,,,,,,,,,,
084-085,392 C,Motore elettrico,392 C,104583,Con spazzole 24V,392,104584,,,,,,,,,,,,,,,,,,,,,,,,,,,,
084-085,392 C,Coppia max,392 C,104583,300 Nm (*),392,104584,,,,,,,,,,,,,,,,,,,,,,,,,,,,
084-085,392 C,Velocità angolare max,392 C,104583,"8,5 °/s (*)",392,104584,,,,,,,,,,,,,,,,,,,,,,,,,,,,
084-085,392 C,Peso max anta,392 C,104583,Vedere grafico A,392,104584,,,,,,,,,,,,,,,,,,,,,,,,,,,,
084-085,392 C,Angolo max apertura anta,392 C,104583,120°,392,104584,,,,,,,,,,,,,,,,,,,,,,,,,,,,
084-085,392 C,Temperatura ambiente di esercizio,392 C,104583,-20 °C ÷ +65 °C,392,104584,,,,,,,,,,,,,,,,,,,,,,,,,,,,
084-085,392 C,Grado di protezione,392 C,104583,IP44,392,104584,,,,,,,,,,,,,,,,,,,,,,,,,,,,
084-085,392 C,Peso,392 C,104583,"11,7 Kg",392,104584,9 Kg,,,,,,,,,,,,,,,,,,,,,,,,,,,
084-085,392 C,Frequenza di utilizzo,392 C,104583,Utilizzo continuo,392,104584,,,,,,,,,,,,,,,,,,,,,,,,,,,,
084-085,392 C,Larghezza max anta,392 C,104583,"2,5 m con elettroserratura",392,104584,,,,,,,,,,,,,,,,,,,,,,,,,,,,
084-085,392 C,Dimensioni (LxPxH),392 C,104583,183 x 256 x 304 mm,392,104584,,,,,,,,,,,,,,,,,,,,,,,,,,,,
084-085,392 C,Apparecchiatura elettronica,392 C,104583,E034 incorporata,392,104584,-,,,,,,,,,,,,,,,,,,,,,,,,,,,
086-087,402,Tensione di alimentazione di rete,402 CBC,104468,220-240V~ 50/60 Hz,402 SBS,104474,,,,,,,,,,,,,,,,,,,,,,,,,,,,
086-087,402,Motore elettrico,402 CBC,104468,Asincrono monofase,402 SBS,104474,,,,,,,,,,,,,,,,,,,,,,,,,,,,
086-087,402,Potenza max,402 CBC,104468,220 W,402 SBS,104474,,,,,,,,,,,,,,,,,,,,,,,,,,,,
086-087,402,Forza max di spinta,402 CBC,104468,5000 N (*),402 SBS,104474,6900 N (*),,,,,,,,,,,,,,,,,,,,,,,,,,,
086-087,402,Velocità max stelo,402 CBC,104468,13 mm/s (*),402 SBS,104474,10 mm/s (*),,,,,,,,,,,,,,,,,,,,,,,,,,,
086-087,402,Portata gruppo motore-pompa,402 CBC,104468,1 lpm (*),402 SBS,104474,"0,75 lpm (*)",,,,,,,,,,,,,,,,,,,,,,,,,,,
086-087,402,Corsa dello stelo,402 CBC,104468,250 mm,402 SBS,104474,,,,,,,,,,,,,,,,,,,,,,,,,,,,
086-087,402,Angolo max apertura anta,402 CBC,104468,110°,402 SBS,104474,,,,,,,,,,,,,,,,,,,,,,,,,,,,
086-087,402,Temperatura ambiente di esercizio,402 CBC,104468,-20°C ÷ + 55°C,402 SBS,104474,,,,,,,,,,,,,,,,,,,,,,,,,,,,
086-087,402,Termoprotezione,402 CBC,104468,120°C,402 SBS,104474,,,,,,,,,,,,,,,,,,,,,,,,,,,,
086-087,402,Grado di protezione,402 CBC,104468,IP55,402 SBS,104474,,,,,,,,,,,,,,,,,,,,,,,,,,,,
086-087,402,Peso,402 CBC,104468,"6,5 Kg",402 SBS,104474,,,,,,,,,,,,,,,,,,,,,,,,,,,,
086-087,402,Frequenza di utilizzo,402 CBC,104468,55 cicli/ora,402 SBS,104474,,,,,,,,,,,,,,,,,,,,,,,,,,,,
086-087,402,Larghezza max anta,402 CBC,104468,"1,80 m",402 SBS,104474,3 m (con elettroserratura),,,,,,,,,,,,,,,,,,,,,,,,,,,
086-087,402,Tipo di olio,402 CBC,104468,FAAC HP OIL,402 SBS,104474,,,,,,,,,,,,,,,,,,,,,,,,,,,,
086-087,402,Staffe di fissaggio,402 CBC,104468,Attacco posteriore a saldare/avvitare - attacco anteriore a saldare/avvitare,402 SBS,104474,,,,,,,,,,,,,,,,,,,,,,,,,,,,
086-087,402,Dimensioni (LxPxH),402 CBC,104468,959 x 85 x 85 mm,402 SBS,104474,,,,,,,,,,,,,,,,,,,,,,,,,,,,
086-087,402,Apparecchiatura elettronica,402 CBC,104468,Non compresa,402 SBS,104474,,,,,,,,,,,,,,,,,,,,,,,,,,,,
088-089,422,Tensione di alimentazione di rete,422 CBAC,104200,220-240V~ 50/60 Hz,422 SBS,104210,,,,,,,,,,,,,,,,,,,,,,,,,,,,
088-089,422,Motore elettrico,422 CBAC,104200,Asincrono monofase,422 SBS,104210,,,,,,,,,,,,,,,,,,,,,,,,,,,,
088-089,422,Potenza max,422 CBAC,104200,220 W,422 SBS,104210,,,,,,,,,,,,,,,,,,,,,,,,,,,,
088-089,422,Forza max di spinta,422 CBAC,104200,5000 N (*),422 SBS,104210,6900 N (*),,,,,,,,,,,,,,,,,,,,,,,,,,,
088-089,422,Velocità max stelo,422 CBAC,104200,13 mm/s (*),422 SBS,104210,10 mm/s (*),,,,,,,,,,,,,,,,,,,,,,,,,,,
088-089,422,Portata gruppo motore-pompa,422 CBAC,104200,1 lpm (*),422 SBS,104210,"0,75 lpm (*)",,,,,,,,,,,,,,,,,,,,,,,,,,,
088-089,422,Corsa dello stelo,422 CBAC,104200,250 mm,422 SBS,104210,,,,,,,,,,,,,,,,,,,,,,,,,,,,
088-089,422,Angolo max apertura anta,422 CBAC,104200,110°,422 SBS,104210,,,,,,,,,,,,,,,,,,,,,,,,,,,,
088-089,422,Temperatura ambiente di esercizio,422 CBAC,104200,-20°C ÷ + 55°C,422 SBS,104210,,,,,,,,,,,,,,,,,,,,,,,,,,,,
088-089,422,Termoprotezione,422 CBAC,104200,120°C,422 SBS,104210,,,,,,,,,,,,,,,,,,,,,,,,,,,,
088-089,422,Grado di protezione,422 CBAC,104200,IP55,422 SBS,104210,,,,,,,,,,,,,,,,,,,,,,,,,,,,
088-089,422,Peso,422 CBAC,104200,7 Kg,422 SBS,104210,,,,,,,,,,,,,,,,,,,,,,,,,,,,
088-089,422,Frequenza di utilizzo,422 CBAC,104200,55 cicli/ora,422 SBS,104210,,,,,,,,,,,,,,,,,,,,,,,,,,,,
088-089,422,Larghezza max anta,422 CBAC,104200,"1,8 m",422 SBS,104210,3 m (con elettroserratura),,,,,,,,,,,,,,,,,,,,,,,,,,,
088-089,422,Tipo di olio,422 CBAC,104200,FAAC HP OIL,422 SBS,104210,,,,,,,,,,,,,,,,,,,,,,,,,,,,
088-089,422,Staffe di fissaggio,422 CBAC,104200,Attacco posteriore a saldare/avvitare - attacco anteriore a saldare/avvitare,422 SBS,104210,,,,,,,,,,,,,,,,,,,,,,,,,,,,
088-089,422,Dimensioni (LxPxH),422 CBAC,104200,987 x 85 x 119 mm,422 SBS,104210,,,,,,,,,,,,,,,,,,,,,,,,,,,,
088-089,422,Apparecchiatura elettronica,422 CBAC,104200,Non compresa,422 SBS,104210,,,,,,,,,,,,,,,,,,,,,,,,,,,,
090-091,400,Tensione di alimentazione di rete,400 CBC,104205,220-240V~ 50/60 Hz,400 SB,104206,,400 SBS,104203,,400 CBAC,104201,,400 CBAC L,104202,,400 SBS L,104220,,,,,,,,,,,,,,,,
